"tier","n_ref","repeat_id","ari","auc_both","auc_prop","auc_mean","recon_mse","ref_samples"
"Bottom 10%",2,81,0.855037179526562,0.745238095238095,0.688095238095238,0.723809523809524,0.00314286413229122,"250, 224"
"Bottom 10%",2,82,0.629383452883922,0.744047619047619,0.75952380952381,0.56547619047619,0.00287588144272519,"250, 771"
"Bottom 10%",2,83,0.84954021835061,0.689285714285715,0.755952380952381,0.578571428571428,0.00269040689498997,"251, 258"
"Bottom 10%",2,84,0.858294824658502,0.526190476190476,0.663095238095238,0.497619047619048,0.00301055944382841,"770, 255"
"Bottom 10%",2,85,0.866954231940339,0.679761904761905,0.696428571428571,0.603571428571429,0.00292219281151385,"250, 258"
"Bottom 10%",2,86,0.859421508131077,0.679761904761905,0.644047619047619,0.654761904761905,0.00310237274297372,"255, 551"
"Bottom 10%",2,87,0.84954021835061,0.689285714285715,0.755952380952381,0.578571428571428,0.00269040689498997,"258, 251"
"Bottom 10%",2,88,0.857011816099415,0.620238095238095,0.634523809523809,0.54047619047619,0.00266129464498306,"551, 224"
"Bottom 10%",2,89,0.877220565413289,0.695238095238095,0.679761904761905,0.638095238095238,0.00309945786411428,"92, 525"
"Bottom 10%",2,90,0.850710765830681,0.621428571428571,0.616666666666666,0.609523809523809,0.00271755812604752,"587, 92"
"Bottom 10%",2,91,0.853042018698777,0.645238095238095,0.688095238095238,0.547619047619048,0.00280436994519621,"525, 551"
"Bottom 10%",2,92,0.86200642987451,0.676190476190476,0.636904761904762,0.684523809523809,0.00301416681157034,"251, 224"
"Bottom 10%",2,93,0.794609834819939,0.560714285714285,0.635714285714286,0.560714285714285,0.00292051254246615,"771, 255"
"Bottom 10%",2,94,0.864806119360228,0.707142857142857,0.420238095238095,0.70952380952381,0.00345731784357471,"255, 92"
"Bottom 10%",2,95,0.859589879279249,0.647619047619047,0.579761904761905,0.64047619047619,0.00286685434294664,"551, 258"
"Bottom 10%",2,96,0.861650607483624,0.582142857142857,0.685714285714286,0.478571428571428,0.00319135141759128,"525, 770"
"Bottom 10%",2,97,0.85109995628632,0.752380952380952,0.554761904761905,0.726190476190476,0.0028485643919111,"251, 525"
"Bottom 10%",2,98,0.859963346274057,0.591666666666666,0.65,0.577380952380952,0.00286972411954783,"250, 255"
"Bottom 10%",2,99,0.833720124443827,0.708333333333333,0.742857142857143,0.659523809523809,0.00311163967486974,"255, 258"
"Bottom 10%",2,100,0.861650607483624,0.582142857142857,0.685714285714286,0.478571428571428,0.00319135141759128,"525, 770"
"Random",2,1,0.624985267699484,0.714285714285714,0.773809523809524,0.701190476190476,0.00307967942920496,"307, 776"
"Random",2,2,0.844637237020692,0.757142857142857,0.601190476190476,0.742857142857143,0.00286458418962748,"229, 204"
